1,2,3,4
1.33299663128827e-05,2.1155100119120324e-05,2.5046174255715923e-05,2.7216083336076614e-05
1.7162482170345418e-05,2.692499718425395e-05,3.190157434720657e-05,3.4673181121888224e-05
3.542770398672077e-05,5.424852091929156e-05,6.397432692140098e-05,6.947537498139582e-05
8.955135591429069e-05,0.0001354469660482361,0.0001592672144167403,0.00017305825002002847
0.00013524760489183214,0.00020690320725091904,0.00024411167193336242,0.0002656352568534593
0.00024084269828572816,0.0003778028067227571,0.00044940509742676793,0.0004907741053027304
0.0004575163796142306,0.0007185579579344234,0.0008549514998200574,0.0009331734365717515
0.000900453412713718,0.0013917669060652844,0.0016441397435806517,0.0017880862084159324
0.0018267718272623051,0.0027217798872310396,0.0031628262599354942,0.003412508415051056
0.0030629062672021395,0.004383420813371592,0.004995803195260041,0.005349324610737792
